label,repo_file,title,visual_group,intended_pages_or_section,creator_or_institution,rights_license_status,original_path,production_source,web_dimensions_px,original_dimensions_px,sequence
A01,images/labeled/a01-mediation-a-photograph-of-an-attractive-woman-with-a-white-lace-blindfold-roses-on.jpg,"A photograph of an attractive woman with a white lace blindfold, roses on her headband, long blonde hair, soft features",Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Creator not verified,"Local/generated/unknown source; verify creator, source, and usage rights before final export.","C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\A photograph of an attractive woman with a white lace blindfold, roses on her headband, long blonde hair, soft features.jpeg",C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-01.jpeg,1539x1800,3096x3620,01
A05,images/labeled/a05-social-constraint-adobestock-1024472839.jpg,AdobeStock_1024472839,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_1024472839.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-05.jpeg,1800x1200,6048x4032,05
A06,images/labeled/a06-social-constraint-adobestock-1040196803.jpg,AdobeStock_1040196803,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_1040196803.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-06.jpeg,1800x1009,5824x3264,06
A07,images/labeled/a07-social-constraint-adobestock-1044937382.jpg,AdobeStock_1044937382,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_1044937382.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-07.jpeg,1800x1200,5376x3584,07
A08,images/labeled/a08-social-constraint-adobestock-1225023891.jpg,AdobeStock_1225023891,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_1225023891.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-08.jpeg,1800x1800,4096x4096,08
A09,images/labeled/a09-social-constraint-adobestock-140076283.jpg,AdobeStock_140076283,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_140076283.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-09.jpeg,1800x1200,4500x3000,09
A10,images/labeled/a10-social-constraint-adobestock-1462135790.jpg,AdobeStock_1462135790,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_1462135790.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-10.jpeg,1800x1009,5824x3264,10
A11,images/labeled/a11-social-constraint-adobestock-206067082.jpg,AdobeStock_206067082,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_206067082.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-11.jpeg,1800x854,7888x3744,11
A12,images/labeled/a12-social-constraint-adobestock-268225510.jpg,AdobeStock_268225510,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_268225510.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-12.jpeg,1800x538,3677x1100,12
A13,images/labeled/a13-social-constraint-adobestock-320500758.jpg,AdobeStock_320500758,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,C:\Users\toddl\OneDrive\Desktop\SCHOOL\Graph252 booklab\visceral-theory of sight assets\AdobeStock_320500758.jpeg,C:\Users\toddl\OneDrive\Documents\visceral\visceral-production-route\assets\asset-13.jpeg,1200x1800,4480x6720,13
